"sensor","year","month","mean_albedo","n_obs","sd_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation"
"VIIRS",2012,1,0.350496107678731,14,0.0265912646994931,2012-01-01,2.13925626460498,819.333048303211,55.6139072846244,4089.20951802911
"VIIRS",2012,2,0.344989245558594,29,0.046607882247291,2012-02-01,2.49148156375708,1213.19774925064,21.2856434929199,3148.1391602994
"VIIRS",2012,3,0.322389380169997,31,0.0193452781021945,2012-03-01,2.00631321448546,1562.24216901972,134.240844357265,1495.47578437004
"VIIRS",2012,4,0.297186165136675,30,0.0197706607644102,2012-04-01,1.44330968395887,837.275850704984,110.43126984398,1245.55321507627
"VIIRS",2012,5,0.27440333567141,31,0.0186411220593935,2012-05-01,0.0438201511939096,1555.20516788922,685.395181246168,628.431691423216
"VIIRS",2012,6,0.313602263930176,25,0.0808428588809926,2012-06-01,-0.894317295888575,1947.07941563156,992.290455289513,399.437700970814
"VIIRS",2012,7,0.255577856238096,31,0.0416548972052477,2012-07-01,-1.24231435173643,1390.23292288938,671.828885763475,495.968144415608
"VIIRS",2012,8,0.347676038832248,31,0.0506224821582225,2012-08-01,-1.45170904727017,1760.30768651719,1007.25196543855,931.930118404611
"VIIRS",2012,9,0.374971346170951,30,0.0658029174243372,2012-09-01,-2.42792584343665,1655.68016485467,1049.87838982481,1669.70112574702
"VIIRS",2012,10,0.390266728744373,31,0.0390818259519515,2012-10-01,-1.25066058298685,1635.29933429631,887.065601172811,2755.46061090875
"VIIRS",2012,11,0.425091346161553,30,0.0111919209733319,2012-11-01,-0.920449475383768,1183.34971852462,521.129546503692,3908.24131043154
"VIIRS",2012,12,0.439659332823024,31,0.0137931518362498,2012-12-01,0.808544826657614,943.667848373133,335.742864401055,4414.71054406341
"VIIRS",2013,1,0.381496227943105,31,0.0125888213867868,2013-01-01,2.34543866636235,957.07114888427,0.862806615856949,4210.2170053003
"VIIRS",2013,2,0.345331775011245,28,0.0141988761102123,2013-02-01,2.50336772329917,1403.80711325161,18.0050501288726,2549.68672755403
"VIIRS",2013,3,0.309036746866188,31,0.0219679896891615,2013-03-01,2.95456605623341,1515.54944353958,18.9189342101275,1454.80248441484
"VIIRS",2013,4,0.305241055075571,30,0.0218238567714684,2013-04-01,1.25191556986702,1363.77755794331,243.78430235806,1059.90512072937
"VIIRS",2013,5,0.262421954507078,31,0.0221834654793541,2013-05-01,-0.594549933315538,1340.84212893919,648.079473094023,659.994318391193
"VIIRS",2013,6,0.315244331551492,30,0.0291627572795881,2013-06-01,-1.75482621869214,1583.16361089131,1126.79521585536,393.514754192719
"VIIRS",2013,7,0.296496090787754,31,0.0421251198171898,2013-07-01,-1.56519529197526,1254.53300304132,774.275065005414,508.851722205669
"VIIRS",2013,8,0.360552681744251,31,0.0389902322170236,2013-08-01,-2.5217349880597,1437.77344977818,1158.27583935629,945.974999584485
"VIIRS",2013,9,0.385300303659346,30,0.0280399993989922,2013-09-01,-2.85097090712737,1203.77815972069,906.688492372461,1933.2046553897
"VIIRS",2013,10,0.443395342922516,31,0.0210583935388996,2013-10-01,-2.06910556082596,1131.72020868184,857.878865607088,2787.97572526706
"VIIRS",2013,11,0.399188594855997,30,0.0246616809633126,2013-11-01,-0.687918627857417,921.423414346333,497.550227748359,3732.17968744763
"VIIRS",2013,12,0.389679103516191,31,0.0303666390833137,2013-12-01,1.18002790459952,705.19477968556,135.17362403971,4106.5488230871
"VIIRS",2014,1,0.393406923736182,31,0.0459628888936904,2014-01-01,0.743258290620016,1011.32180388464,193.994350424839,4098.51964102311
"VIIRS",2014,2,0.381253187713343,28,0.0134658381897181,2014-02-01,2.34352839065623,1289.31685885503,7.14055416152143,2793.08699255043
"VIIRS",2014,3,0.319464410928829,31,0.0247700193357442,2014-03-01,2.3334466358137,1021.73993995686,98.2954657008423,1594.10601267588
"VIIRS",2014,4,0.300953002951456,30,0.0301989718790682,2014-04-01,0.654050798431135,1382.18399762219,472.390609920372,1181.98822867599
"VIIRS",2014,5,0.286538274260018,31,0.0536890158220827,2014-05-01,-1.44604700766664,1254.07048562685,776.00408807808,695.184840609475
"VIIRS",2014,6,0.288363793400511,30,0.0288905547284639,2014-06-01,-0.955365656630906,1266.43412159329,664.938359119293,400.68275671266
"VIIRS",2014,7,0.302843135420496,31,0.0188469634117243,2014-07-01,-2.59832177675598,1649.74763586885,1208.11281034513,540.288198452866
"VIIRS",2014,8,0.355993193343167,31,0.030220207378077,2014-08-01,-4.74030721537035,1282.13199941988,1172.19270049732,1074.84172473091
"VIIRS",2014,9,0.398051205356904,30,0.0207980719892153,2014-09-01,-4.18207358488252,1150.78333369418,997.461784550596,1875.5335270548
"VIIRS",2014,10,0.42848463243436,31,0.0245800723534494,2014-10-01,-3.20426723368793,1100.49075000637,959.840036660392,2856.1146396291
"VIIRS",2014,11,0.437273309953868,30,0.0128459908976287,2014-11-01,-1.86859142802504,901.953147977474,511.580556369897,3964.90954646015
"VIIRS",2014,12,0.362756233182178,31,0.047575863917181,2014-12-01,0.733881505949261,1679.35977165019,194.139128510919,3856.83765049483
"VIIRS",2015,1,0.362858041670249,31,0.0201520114358353,2015-01-01,1.37466386327375,1257.35132906839,257.021086458594,3593.28245921491
"VIIRS",2015,2,0.370497004867856,28,0.00859468558368439,2015-02-01,1.79148448539655,797.894613088916,71.1819764774184,3088.05215914454
"VIIRS",2015,3,0.325218474501579,31,0.0137687964277906,2015-03-01,2.13013206483673,981.02064905015,27.0426883315126,1533.46675993337
"VIIRS",2015,4,0.26838723377385,30,0.0422329390082004,2015-04-01,0.331760496076129,1222.63301143472,323.912441321564,1187.52401317951
"VIIRS",2015,5,0.250292309973919,31,0.0500200928312838,2015-05-01,1.24857437000835,1411.06559389703,242.25577020212,539.629403155957
"VIIRS",2015,6,0.282775140629163,30,0.0747341937475666,2015-06-01,-2.49796419839472,1696.93346127906,1136.27943629635,433.015656876008
"VIIRS",2015,7,0.332259053744329,31,0.0492593100199456,2015-07-01,-1.81734666537233,1091.65328633474,752.301536582829,518.522130432925
"VIIRS",2015,8,0.316414901510326,31,0.0190931976549266,2015-08-01,-1.32945031891107,1638.08136571399,900.135164832082,902.717419792613
"VIIRS",2015,9,0.393784671968932,30,0.0188691341445669,2015-09-01,-2.81498112367496,1275.32146516452,1036.35818344343,1746.79881759565
"VIIRS",2015,10,0.428691796227153,31,0.0240429419269291,2015-10-01,-2.86321375013288,1383.58205403484,1206.16003631063,2857.24725065358
"VIIRS",2015,11,0.412531280809291,30,0.027457827927389,2015-11-01,-1.22851732004437,1303.93182087127,459.270423692593,4119.70094083192
"VIIRS",2015,12,0.412829371507118,31,0.0194801014815007,2015-12-01,0.432819847936661,992.102632226749,277.116016089543,4302.87347103698
"VIIRS",2016,1,0.371119362984989,31,0.0167657204643009,2016-01-01,2.043714624901,1242.9420916013,167.691790119642,3691.45428154267
"VIIRS",2016,2,0.341896171204448,29,0.0317022939942172,2016-02-01,2.53035322976211,655.910588012516,46.0175351714439,2735.19745981333
"VIIRS",2016,3,0.293753325630822,31,0.0357507433661157,2016-03-01,2.2247465497042,781.943147165698,15.356533045779,1619.75128867919
"VIIRS",2016,4,0.312730802864268,30,0.0301463058759362,2016-04-01,2.00686357051941,1387.66345740273,112.286014910094,1076.0062950583
"VIIRS",2016,5,0.241949764137516,31,0.0405491769180493,2016-05-01,-1.38288139301864,1555.5315412309,929.941001358797,668.042502488142
"VIIRS",2016,6,0.168068779804282,30,0.0635476945700003,2016-06-01,-0.423436710498585,1380.94357592392,627.310321484132,412.578288690827
"VIIRS",2016,7,0.297368418777734,31,0.0583439850165786,2016-07-01,-0.832983314161143,1397.78293801683,820.592082156277,517.512687268761
"VIIRS",2016,8,0.341691106157986,31,0.0330638276423325,2016-08-01,-2.50949152540785,1443.52894670659,1078.73527743122,1068.7558398435
"VIIRS",2016,9,0.337854691569744,30,0.0287447606463601,2016-09-01,-1.34688771603806,1281.03971223217,609.164895820752,1554.87838607381
"VIIRS",2016,10,0.387029126175752,31,0.00961194490741411,2016-10-01,-0.542666530120005,1250.7861580206,534.706729182275,2587.19143986481
"VIIRS",2016,11,0.405243227168251,30,0.0155303426601908,2016-11-01,0.0914883885674554,1093.12747306188,246.248953093124,4070.06875579782
"VIIRS",2016,12,0.338944383477595,31,0.0646715069936367,2016-12-01,1.12997447924717,1268.8362992206,271.925917014605,4229.93185874683
"VIIRS",2017,1,0.405972209037681,31,0.0174265361599237,2017-01-01,1.98392240634616,981.014052358271,73.1151575484025,3889.4433491697
"VIIRS",2017,2,0.359659495633832,28,0.0209858677428486,2017-02-01,3.26384080294861,1212.9419393896,288.547453832057,2823.12006484202
"VIIRS",2017,3,0.322015945194532,31,0.0296365237665637,2017-03-01,2.29828619235209,1317.75522831476,53.4314124012391,1771.46450742107
"VIIRS",2017,4,0.322163361106449,30,0.0119162826193066,2017-04-01,1.25606468009125,1369.72871975802,143.897075329785,1302.10683224723
"VIIRS",2017,5,0.256783874471478,31,0.0544272152221579,2017-05-01,-0.215540245295537,1496.495464181,587.571472356987,654.232648994827
"VIIRS",2017,6,0.326318469407706,30,0.0688314223205623,2017-06-01,-0.316816200503852,1360.52265018268,697.390967955103,387.030640313828
"VIIRS",2017,7,0.295437323862822,31,0.0237503040531799,2017-07-01,-0.57649385692057,1523.17157467905,733.043512641757,465.432314796307
"VIIRS",2017,8,0.343988010421992,31,0.0531458466637214,2017-08-01,-0.56042706505253,1181.28615556184,452.967415337336,939.992848744863
"VIIRS",2017,9,0.380532014578462,30,0.0294057861651604,2017-09-01,-1.27521295014673,1233.25120544384,756.475830234682,1836.56603046755
"VIIRS",2017,10,0.401856440132402,31,0.0264927039423636,2017-10-01,-1.04218582503634,1065.48430244865,440.302660825664,2948.34360523029
"VIIRS",2017,11,0.443059690254286,30,0.0185364633993609,2017-11-01,-0.481671659206187,826.825318421556,441.533103650353,4342.14295078802
"VIIRS",2017,12,0.380792712704861,31,0.0107666812511433,2017-12-01,1.80792370490868,1189.91412360804,26.1285992210813,4240.87042239151
"VIIRS",2018,1,0.352338410664662,31,0.0230069373266125,2018-01-01,2.44188246502026,762.141429254293,41.8078074163415,4093.60414855515
"VIIRS",2018,2,0.318208308984246,28,0.0114911659114406,2018-02-01,3.94106251387145,797.897301058315,33.0956321414278,2679.96124307268
"VIIRS",2018,3,0.280561351234568,31,0.0394763031183898,2018-03-01,3.40137190765751,1602.47656846201,22.6658805837451,1436.26783697938
"VIIRS",2018,4,0.296879052317655,30,0.0276553781526086,2018-04-01,1.02014658325498,1329.43766902582,183.486863539149,1207.99353439603
"VIIRS",2018,5,0.31094050039102,31,0.0434615816787657,2018-05-01,-1.19366731967428,1840.3994708027,793.790846129272,690.468919275633
"VIIRS",2018,6,0.331050582448868,30,0.043160008113337,2018-06-01,-0.893850905836652,1025.5754769302,481.070614015608,378.264628616793
"VIIRS",2018,7,0.248748100779031,31,0.0513405983672712,2018-07-01,-2.2077890397666,1486.7741466583,1057.32566822502,521.680971552003
"VIIRS",2018,8,0.273005783740926,31,0.0174378160934152,2018-08-01,-1.21360003722464,1612.87248121501,893.482191048288,982.79386093256
"VIIRS",2018,9,0.369646058186677,30,0.0547426684870385,2018-09-01,-1.66798924452301,1457.30256261,1014.87050482539,1682.63764182627
"VIIRS",2018,10,0.415470550292631,31,0.0477837158093967,2018-10-01,-2.40103759945035,1080.01496821796,779.13210934048,2911.87163621343
"VIIRS",2018,11,0.360100463431862,30,0.0116078282441712,2018-11-01,0.277684359706451,1240.97798410443,412.516083544637,3522.04821548644
"VIIRS",2018,12,0.363108970330299,31,0.018122298358593,2018-12-01,0.724975647008983,756.788626833759,192.275252828187,4221.35933326356
"VIIRS",2019,1,0.375422498749803,31,0.0335159699807004,2019-01-01,2.5942089094355,977.218413294465,395.4834541613,3619.52802067444
"VIIRS",2019,2,0.336015129728652,28,0.034918397289171,2019-02-01,2.72788452200842,1264.24819771518,16.9862157742668,2701.03170436905
"VIIRS",2019,3,0.32136642575731,31,0.0343679835392931,2019-03-01,2.7206370989128,1395.62611325458,41.1144643818283,1477.4720228593
"VIIRS",2019,4,0.287689235944897,30,0.0167833914760636,2019-04-01,1.15605125538908,1559.9894167135,357.418941000018,1226.31912359436
"VIIRS",2019,5,0.305495062609116,31,0.0426855189758328,2019-05-01,-0.250435452325307,1774.05032277668,971.959168355554,669.179445315211
"VIIRS",2019,6,0.293688094256779,30,0.0627123654163443,2019-06-01,0.0980227530879454,1543.77882610255,391.836273780259,316.060459092988
"VIIRS",2019,7,0.279213467526207,31,0.0291777791819203,2019-07-01,-2.06660524661218,1765.5667517142,1292.41599600541,501.438007094943
"VIIRS",2019,8,0.314389196744274,31,0.0642816843747966,2019-08-01,-2.11972830869242,2124.69905816918,1227.71907001773,965.359121235595
"VIIRS",2019,9,0.384456223242678,30,0.0290528871855383,2019-09-01,-3.25775431628641,1535.54048434615,1155.56010632827,1845.54521728247
"VIIRS",2019,10,0.425282146360123,31,0.0184627358480385,2019-10-01,-0.709569711596665,1217.79895671372,609.81178175879,2483.69272554468
"VIIRS",2019,11,0.400302853645355,30,0.0442076135023167,2019-11-01,-0.687573221951572,1245.01178447976,586.731902706473,4111.37305933898
"VIIRS",2019,12,0.428576314156741,31,0.016455394300375,2019-12-01,1.10191066062911,1101.68525173786,358.714679788003,3803.02417755166
"VIIRS",2020,1,0.40564839606179,31,0.0135941903186867,2020-01-01,2.28064313703134,1016.183379533,66.8403093481702,3606.25606127054
"VIIRS",2020,2,0.350012345771504,29,0.014800073708576,2020-02-01,2.53432651645203,1357.31083215833,27.1295829937918,2689.88247667321
"VIIRS",2020,3,0.334931617439757,31,0.055166670519994,2020-03-01,2.77219085317279,1027.29852109076,94.4664266129117,1382.69754094206
"VIIRS",2020,4,0.313800317547189,30,0.044730255441141,2020-04-01,1.19065236635109,1713.95046743501,378.753081063372,1012.16622949563
"VIIRS",2020,5,0.337284177895919,31,0.0329415012055343,2020-05-01,0.230181996909081,1440.06340209249,481.479299457377,619.320570250125
"VIIRS",2020,6,0.311815171144436,30,0.0565694024451356,2020-06-01,-1.66524559775316,1222.40597547074,841.084072409422,417.485407185785
"VIIRS",2020,7,0.30987213793249,31,0.0306385861098617,2020-07-01,-2.05715320195791,1621.82407427191,1218.040357869,546.062128741659
"VIIRS",2020,8,0.368437452084595,31,0.0323243252650566,2020-08-01,-2.12308210310066,1340.8114083494,932.223301517296,1081.04957665826
"VIIRS",2020,9,0.40579163050572,30,0.0227493742838952,2020-09-01,-2.44635048078367,1141.34869089945,715.571117662806,1735.87620017886
"VIIRS",2020,10,0.432337074523604,31,0.0157896566614424,2020-10-01,-1.22613340822784,1106.62054524779,596.145227918029,2785.10450587063
"VIIRS",2020,11,0.433323869358259,30,0.0748190438316015,2020-11-01,-0.609492201327405,977.843066275334,414.909334671343,3846.72520324131
"VIIRS",2020,12,0.377101924009632,31,0.0235327810659041,2020-12-01,1.45777094049175,1225.29736203436,103.47429102448,4055.80024153451
"VIIRS",2021,1,0.351420480821886,31,0.0179278546398181,2021-01-01,1.39173801698664,1289.94153117302,318.61396496017,4013.40624164052
"VIIRS",2021,2,0.355666114484967,28,0.00676095466064907,2021-02-01,2.4988936742376,1246.39942149202,35.372531201229,3042.97112382095
"VIIRS",2021,3,0.400714275767141,31,0.0392623618004686,2021-03-01,0.633681697121233,1063.79005555465,212.053980746628,1879.17725021108
"VIIRS",2021,4,0.297579939604906,30,0.0406176008596068,2021-04-01,0.911508588510054,1143.11374000934,149.153141721092,1158.52521731013
"VIIRS",2021,5,0.304552682710261,31,0.0365765250186972,2021-05-01,0.128777169166239,931.075473474937,161.442507656894,670.847996177253
"VIIRS",2021,6,0.314401528485383,28,0.0673381122799076,2021-06-01,-0.683367399881125,1544.55366886214,554.615774008285,359.613097651491
"VIIRS",2021,7,0.284110937644576,31,0.0214168794723676,2021-07-01,-1.11644165815044,1305.92033250893,766.700545364973,499.480739555739
"VIIRS",2021,8,0.346058413851062,31,0.0435155744938258,2021-08-01,-2.48396570384897,1558.22327281271,1117.71177000065,1032.85263997352
"VIIRS",2021,9,0.371945798941628,30,0.0242217410257368,2021-09-01,-1.81399858939113,1332.61454738101,773.119298393694,1730.98779733344
"VIIRS",2021,10,0.38598524797381,31,0.0189731076322273,2021-10-01,-1.6911499532629,1451.56777209552,992.568771312724,2929.13211704441
"VIIRS",2021,11,0.376206111573768,30,0.0136529279560585,2021-11-01,0.40559082265577,1295.02368786513,369.874956397874,3374.58494323378
"VIIRS",2021,12,0.359163479283085,31,0.0234751777390359,2021-12-01,1.01905572508648,921.470128036167,177.255493631606,4134.70334539568
"VIIRS",2022,1,0.383372769908781,31,0.0168920351652075,2022-01-01,1.27790910965424,931.169914137617,203.146873455151,3874.42544183704
"VIIRS",2022,2,0.350895617157693,28,0.0201338810153961,2022-02-01,1.71522618467945,1477.16230011094,347.515168537965,2875.30698548922
"VIIRS",2022,3,0.356684082213215,31,0.016476024419977,2022-03-01,1.3015797347173,1318.03121818493,312.325463468656,1624.17760249916
"VIIRS",2022,4,0.280520727372331,30,0.0361686206173334,2022-04-01,1.25001535657711,1438.92222219378,162.447980946182,1138.82126058968
"VIIRS",2022,5,0.261773892763869,31,0.0177464751330609,2022-05-01,-0.133360552417689,1355.80380741547,500.06495161258,597.476603459506
"VIIRS",2022,6,0.248627542159183,27,0.037205297122532,2022-06-01,-1.53685342974719,1470.89217820556,996.846604058986,424.353526508501
"VIIRS",2022,7,0.30990984483415,31,0.0449362950426498,2022-07-01,-2.0185605893719,1347.86482634936,944.731358320016,492.067188315581
"VIIRS",2022,8,0.371424500117927,26,0.0451685582868812,2022-08-01,-1.65091308512352,1222.91706743293,824.225019213931,1065.25913593076
"VIIRS",2022,9,0.38789352605666,30,0.0335448333015673,2022-09-01,-2.2148229762751,1156.62350047768,794.773679567337,1759.78048693855
"VIIRS",2022,10,0.4030037543151,31,0.0142630292667671,2022-10-01,-1.01914094025242,993.678090762339,486.647066489726,2992.96496299608
"VIIRS",2022,11,0.385838488648172,30,0.0123089895766127,2022-11-01,0.554618893273746,897.42064605781,230.342721330792,3862.43212101732
"VIIRS",2022,12,0.356786929817847,31,0.0232479527308604,2022-12-01,1.56672672773092,1007.95416735512,179.724633134782,3669.54851792766
"VIIRS",2023,1,0.344212071040389,31,0.0236166629077441,2023-01-01,2.49623372613442,1097.38258959517,10.5067645460848,3669.56744156127
"VIIRS",2023,2,0.338011470351255,28,0.0134656099256282,2023-02-01,2.43693321162146,1202.04511405201,36.7833193560421,3012.25822191828
"VIIRS",2023,3,0.319240063985285,31,0.0374111435450462,2023-03-01,3.35231652795557,1191.24445379778,16.2159912649411,1294.88420511986
"VIIRS",2023,4,0.258718554902268,30,0.0179781404004317,2023-04-01,1.94930976139247,1099.33813650534,100.895741872867,1333.93640635094
"VIIRS",2023,5,0.268329117941561,29,0.0155158180989829,2023-05-01,1.44790499026084,828.917456012213,88.477393416941,612.933990730234
"VIIRS",2023,6,0.297418411701108,30,0.0242812806431134,2023-06-01,0.292663326628847,1024.22512631156,360.871367339041,350.49312324373
"VIIRS",2023,7,0.270514154893098,30,0.0346888997614775,2023-07-01,-2.13047154593071,1227.52736391947,850.417176636911,582.997749669173
"VIIRS",2023,8,0.325675496720505,28,0.0268228502756582,2023-08-01,-1.45928484114922,1607.03386903861,917.462483222498,948.711138310719
"VIIRS",2023,9,0.397286151743502,30,0.0249033130777939,2023-09-01,-2.60275216553574,1266.44119591175,1048.18062867761,1762.26950049057
"VIIRS",2023,10,0.391889067891503,28,0.0197017509524641,2023-10-01,-1.09415136119758,1270.34305367895,562.729723281787,2945.06207846398
"VIIRS",2023,11,0.368662013521659,23,0.0136474831184595,2023-11-01,0.405063831441175,1404.33592875685,549.271185959079,3693.99061207681
"VIIRS",2023,12,0.402587874812708,29,0.0289635420590651,2023-12-01,1.78885629722082,929.123638471684,71.4813029192244,3878.50859571807
"VIIRS",2024,1,0.348308738409106,27,0.0183331722234625,2024-01-01,1.84939541157542,1058.42652257615,49.7518204829839,3986.11857716561
"VIIRS",2024,2,0.300642570772105,26,0.0141576067482429,2024-02-01,2.92211076595869,1222.85541138904,37.5258585277564,2512.85541605523
"VIIRS",2024,3,0.316044388384317,24,0.0331173793512664,2024-03-01,1.71700502125549,1340.43230611011,114.409709418894,1697.92715845938
"VIIRS",2024,4,0.310625980304072,28,0.0128831511290177,2024-04-01,1.82785250820681,1287.70350744841,132.171117627568,1109.64348090933
"VIIRS",2024,5,0.266633870758466,28,0.0623109014404405,2024-05-01,-0.426828445311834,1476.81293711277,501.984077046802,628.099958120877
